"uuid","Name","Symbol","Price","Volume","Market_cap","Circulating_Supply","Image"
"6345b2f3-a043-4e83-a473-46f20c07ff44","eCash","XEC","$0.00009126","$49,550,560","$1,741,002,159","19,029,648,423,313 XEC","https://s2.coinmarketcap.com/static/img/coins/64x64/10791.png"
"16f33d2b-6fbc-40db-b5dd-654435ba68ef","The Graph","GRT","$0.3608","$171,059,574","$1,703,732,614","4,715,735,200 GRT","https://s2.coinmarketcap.com/static/img/coins/64x64/6719.png"
"41ba7c20-7929-4023-ab83-ea40784e3242","BitTorrent-New","BTT","$0.000001834","$141,115,068","$1,703,315,875","926,521,428,571,000 BTT","https://s2.coinmarketcap.com/static/img/coins/64x64/16086.png"
"21196d26-c691-4921-a294-09c3a837586e","Bitcoin SV","BSV","$82.20","$112,371,015","$1,567,216,967","19,029,220 BSV","https://s2.coinmarketcap.com/static/img/coins/64x64/3602.png"
"498da8ce-fa5e-4dd2-ba41-1602165a433c","Zilliqa","ZIL","$0.1236","$1,227,304,848","$1,555,397,212","12,636,517,474 ZIL","https://s2.coinmarketcap.com/static/img/coins/64x64/2469.png"
"9a8adeab-06d5-486e-b94f-6d14a024c91d","KuCoin Token","KCS","$19.21","$9,916,251","$1,548,499,170","80,118,638 KCS","https://s2.coinmarketcap.com/static/img/coins/64x64/2087.png"
"48c78703-0801-458c-8764-1b8bb82b5e8e","Stacks","STX","$1.15","$18,216,189","$1,509,032,029","1,307,851,025 STX","https://s2.coinmarketcap.com/static/img/coins/64x64/4847.png"
"61e11bc5-0a45-46d6-9eeb-7b49793922c8","Huobi Token","HT","$9.34","$46,207,541","$1,461,453,978","155,673,013 HT","https://s2.coinmarketcap.com/static/img/coins/64x64/2502.png"
"b95db615-3efa-41c1-b110-9181f90655d9","STEPN","GMT","$2.42","$1,433,590,114","$1,460,823,826","600,000,000 GMT","https://s2.coinmarketcap.com/static/img/coins/64x64/18069.png"
"1f87bbef-1b8a-4e1b-9971-888d049a8eee","Harmony","ONE","$0.1203","$84,296,588","$1,440,641,273","11,939,792,040 ONE","https://s2.coinmarketcap.com/static/img/coins/64x64/3945.png"
"eed52f9b-57bb-4255-8f80-02f095740d43","Quant","QNT","$119.31","$40,741,205","$1,439,980,260","12,072,738 QNT","https://s2.coinmarketcap.com/static/img/coins/64x64/3155.png"
"e05da958-cf27-43a9-975e-d1c8a69e7188","Neo","NEO","$20.04","$130,194,672","$1,417,755,457","70,538,831 NEO","https://s2.coinmarketcap.com/static/img/coins/64x64/1376.png"
"ce292822-8de9-4d9c-b3a2-fa87c601d4ab","Gala","GALA","$0.2002","$338,802,412","$1,402,193,706","6,977,205,436 GALA","https://s2.coinmarketcap.com/static/img/coins/64x64/7080.png"
"eb49706c-b922-4475-ad26-2449a78afb20","Celo","CELO","$3.18","$133,790,966","$1,386,566,699","433,213,075 CELO","https://s2.coinmarketcap.com/static/img/coins/64x64/5567.png"
"3d09d69f-23f5-4d8d-a3ee-2776e57dddf7","Chiliz","CHZ","$0.2273","$254,094,649","$1,377,889,738","6,000,378,958 CHZ","https://s2.coinmarketcap.com/static/img/coins/64x64/4066.png"
"f2d4974f-414c-44f2-8537-d4a58a5d5d86","TrueUSD","TUSD","$0.9994","$195,144,446","$1,345,650,766","1,346,019,957 TUSD","https://s2.coinmarketcap.com/static/img/coins/64x64/2563.png"
"c9291e36-653c-453a-b607-93a421504200","Enjin Coin","ENJ","$1.53","$169,730,461","$1,341,649,847","874,674,706 ENJ","https://s2.coinmarketcap.com/static/img/coins/64x64/2130.png"
"016098f2-89e4-48b0-9b5f-114f8cbabf11","Kusama","KSM","$156.87","$63,062,261","$1,337,144,310","8,470,098 KSM","https://s2.coinmarketcap.com/static/img/coins/64x64/5034.png"
"3cd096e2-0a7b-474e-b218-4ae062414c8d","Nexo","NEXO","$2.32","$18,908,902","$1,300,396,889","560,000,011 NEXO","https://s2.coinmarketcap.com/static/img/coins/64x64/2694.png"
"5c603563-4dcf-4bfb-9fa1-111b86af1711","Mina","MINA","$2.70","$96,858,905","$1,227,818,132","454,626,174 MINA","https://s2.coinmarketcap.com/static/img/coins/64x64/8646.png"
"f760564d-8ed7-4225-8c49-575e3bc1ebc3","Loopring","LRC","$0.878","$145,268,542","$1,172,902,379","1,329,675,414 LRC","https://s2.coinmarketcap.com/static/img/coins/64x64/1934.png"
"0e6ccb97-fcd9-4735-ae23-a6dbf3750c90","OKB","OKB","$18.84","$47,099,628","$1,129,145,271","60,000,000 OKB","https://s2.coinmarketcap.com/static/img/coins/64x64/3897.png"
"c52712de-f49b-4530-a368-1b76c66b87db","Dash","DASH","$102.33","$209,239,671","$1,095,893,137","10,670,068 DASH","https://s2.coinmarketcap.com/static/img/coins/64x64/131.png"
"5fedb46b-c865-47f0-9375-084a0d55e14f","Basic Attention Token","BAT","$0.7","$74,242,632","$1,052,315,051","1,499,204,735 BAT","https://s2.coinmarketcap.com/static/img/coins/64x64/1697.png"
"484280e4-95e2-48ae-9c91-b89590d83782","Curve DAO Token","CRV","$2.22","$167,287,496","$1,048,460,354","472,043,661 CRV","https://s2.coinmarketcap.com/static/img/coins/64x64/6538.png"
"08940e5b-3ff3-4905-91dc-b509312956df","Arweave","AR","$31.15","$38,698,849","$1,042,013,282","33,394,701 AR","https://s2.coinmarketcap.com/static/img/coins/64x64/5632.png"
"4e01b1c8-4ffc-44e9-941b-037f299244bf","Neutrino USD","USDN","$0.9748","$51,925,104","$1,000,435,412","1,025,600,562 USDN","https://s2.coinmarketcap.com/static/img/coins/64x64/5068.png"
"5cffb45e-fc73-40e4-946e-634d4a645810","Amp","AMP","$0.02356","$15,766,303","$996,525,363","42,227,702,186 AMP","https://s2.coinmarketcap.com/static/img/coins/64x64/6945.png"
"416b4515-afef-4722-b3be-6ede90661d68","Kadena","KDA","$5.55","$67,361,262","$953,390,565","171,287,601 KDA","https://s2.coinmarketcap.com/static/img/coins/64x64/5647.png"
"017e9f50-0e3c-4504-8ebd-f2c9961760b5","Pax Dollar","USDP","$1.00","$8,016,131","$948,165,653","945,642,940 USDP","https://s2.coinmarketcap.com/static/img/coins/64x64/3330.png"
"997c6c81-0d7d-4f43-8440-94b4b310844a","Theta Fuel","TFUEL","$0.1663","$30,334,358","$889,971,285","5,301,214,400 TFUEL","https://s2.coinmarketcap.com/static/img/coins/64x64/3822.png"
"0b197576-113b-4736-8b9b-7e6d946076be","NEM","XEM","$0.09848","$23,212,438","$888,450,073","8,999,999,999 XEM","https://s2.coinmarketcap.com/static/img/coins/64x64/873.png"
"9b9da44f-5226-4c0b-94ca-9cee6e429dbc","Holo","HOT","$0.004816","$87,973,413","$831,497,358","173,289,911,898 HOT","https://s2.coinmarketcap.com/static/img/coins/64x64/2682.png"
"c081b57e-2edc-4b29-9941-c24c345cdbc4","Compound","COMP","$123.58","$73,570,946","$830,244,658","6,697,238 COMP","https://s2.coinmarketcap.com/static/img/coins/64x64/5692.png"
"a37985d8-68c7-4d38-9086-22f8c3ecb802","Oasis Network","ROSE","$0.2332","$78,280,720","$817,681,951","3,493,014,306 ROSE","https://s2.coinmarketcap.com/static/img/coins/64x64/7653.png"
"22cc097c-ccae-4e1e-9a85-23b113e2e0e2","Secret","SCRT","$4.99","$32,660,268","$817,337,837","163,295,557 SCRT","https://s2.coinmarketcap.com/static/img/coins/64x64/5604.png"
"c7772032-34ea-44f5-95f4-b95417c12e6f","Moonbeam","GLMR","$3.64","$136,083,436","$758,537,060","206,061,843 GLMR","https://s2.coinmarketcap.com/static/img/coins/64x64/6836.png"
"ae573b45-66f6-4506-b300-737bef1bb22c","Decred","DCR","$54.36","$3,770,710","$756,230,844","13,925,022 DCR","https://s2.coinmarketcap.com/static/img/coins/64x64/1168.png"
"b0728b12-8dcd-4b75-bc55-7c3ccc2edc66","Kava","KAVA","$4.33","$129,674,237","$750,198,053","172,437,320 KAVA","https://s2.coinmarketcap.com/static/img/coins/64x64/4846.png"
"e0523c14-5534-4ae2-82cf-c5907100fad9","Kyber Network Crystal v2","KNC","$4.13","$733,863,067","$730,812,160","177,809,350 KNC","https://s2.coinmarketcap.com/static/img/coins/64x64/9444.png"
"a9c20ba6-dcca-4ed9-915c-96ea895ffbf6","BORA","BORA","$0.8231","$27,140,751","$712,006,631","861,250,000 BORA","https://s2.coinmarketcap.com/static/img/coins/64x64/3801.png"
"313f06fa-eff3-4219-9de4-40b503436725","yearn.finance","YFI","$19,152.56","$81,043,902","$703,549,528","36,638 YFI","https://s2.coinmarketcap.com/static/img/coins/64x64/5864.png"
"e53bb074-3e39-4d60-80c4-3c4983df75cf","IoTeX","IOTX","$0.07327","$24,458,369","$699,544,945","9,540,779,324 IOTX","https://s2.coinmarketcap.com/static/img/coins/64x64/2777.png"
"7df41224-1a44-44c4-8934-1e591fab3274","XDC Network","XDC","$0.05655","$5,137,868","$697,894,288","12,305,012,699 XDC","https://s2.coinmarketcap.com/static/img/coins/64x64/2634.png"
"f2f98040-6cb8-48ac-a24d-57ecfbb35292","ICON","ICX","$0.7544","$24,955,878","$695,608,599","919,483,096 ICX","https://s2.coinmarketcap.com/static/img/coins/64x64/2099.png"
"4143d2d5-8e1c-4f29-873c-7cd1ba72bdd7","Celsius","CEL","$2.89","$3,618,708","$691,301,649","238,863,520 CEL","https://s2.coinmarketcap.com/static/img/coins/64x64/2700.png"
"ac1d4689-e6c2-4c01-9215-2b1f0aead22a","Gnosis","GNO","$368.85","$10,962,080","$687,352,630","1,865,027 GNO","https://s2.coinmarketcap.com/static/img/coins/64x64/1659.png"
